# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_81230.71948973177

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.597720e-06	-1.085876e-08	-5.696697e+01	-7.084869e+02
1.000000e-08	-7.597697e-06	-1.085901e-08	-5.696680e+01	-7.084800e+02
2.000000e-08	-7.597533e-06	-1.086206e-08	-5.696557e+01	-7.084874e+02
3.000000e-08	-7.597342e-06	-1.086557e-08	-5.696414e+01	-7.085114e+02
4.000000e-08	-7.597130e-06	-1.085122e-08	-5.696255e+01	-7.085534e+02
5.000000e-08	-7.596727e-06	-1.079638e-08	-5.695953e+01	-7.086143e+02
6.000000e-08	-7.596170e-06	-1.071456e-08	-5.695535e+01	-7.086945e+02
7.000000e-08	-7.595516e-06	-1.077439e-08	-5.695044e+01	-7.087934e+02
8.000000e-08	-7.594515e-06	-1.078981e-08	-5.694294e+01	-7.089099e+02
9.000000e-08	-7.593159e-06	-1.101605e-08	-5.693277e+01	-7.090422e+02
1.000000e-07	-7.591542e-06	-1.116647e-08	-5.692065e+01	-7.091878e+02
1.100000e-07	-7.589677e-06	-1.107486e-08	-5.690667e+01	-7.093438e+02
1.200000e-07	-7.587578e-06	-1.096116e-08	-5.689093e+01	-7.095068e+02
1.300000e-07	-7.585156e-06	-1.082414e-08	-5.687277e+01	-7.096731e+02
1.400000e-07	-7.582383e-06	-1.085570e-08	-5.685197e+01	-7.098389e+02
1.500000e-07	-7.579352e-06	-1.073345e-08	-5.682925e+01	-7.100002e+02
1.600000e-07	-7.575962e-06	-1.081001e-08	-5.680383e+01	-7.101533e+02
1.700000e-07	-7.572383e-06	-1.079165e-08	-5.677699e+01	-7.102944e+02
1.800000e-07	-7.568667e-06	-1.076208e-08	-5.674914e+01	-7.104203e+02
1.900000e-07	-7.564730e-06	-1.090240e-08	-5.671962e+01	-7.105280e+02
2.000000e-07	-7.560690e-06	-1.082701e-08	-5.668932e+01	-7.106149e+02
2.100000e-07	-7.556509e-06	-1.088952e-08	-5.665798e+01	-7.106791e+02
2.200000e-07	-7.552203e-06	-1.078826e-08	-5.662569e+01	-7.107191e+02
2.300000e-07	-7.547731e-06	-1.083884e-08	-5.659216e+01	-7.107341e+02
2.400000e-07	-7.543241e-06	-1.100923e-08	-5.655850e+01	-7.107236e+02
2.500000e-07	-7.538650e-06	-1.087238e-08	-5.652407e+01	-7.106877e+02
2.600000e-07	-7.533758e-06	-1.088682e-08	-5.648739e+01	-7.106269e+02
2.700000e-07	-7.528599e-06	-1.091355e-08	-5.644870e+01	-7.105422e+02
2.800000e-07	-7.523348e-06	-1.089914e-08	-5.640934e+01	-7.104347e+02
2.900000e-07	-7.517939e-06	-1.082209e-08	-5.636878e+01	-7.103059e+02
3.000000e-07	-7.512201e-06	-1.084449e-08	-5.632576e+01	-7.101574e+02
3.100000e-07	-7.506254e-06	-1.080593e-08	-5.628117e+01	-7.099908e+02
3.200000e-07	-7.500202e-06	-1.080618e-08	-5.623579e+01	-7.098079e+02
3.300000e-07	-7.493962e-06	-1.100370e-08	-5.618900e+01	-7.096104e+02
3.400000e-07	-7.487524e-06	-1.086529e-08	-5.614073e+01	-7.093997e+02
3.500000e-07	-7.480924e-06	-1.075523e-08	-5.609124e+01	-7.091774e+02
3.600000e-07	-7.474018e-06	-1.076936e-08	-5.603946e+01	-7.089447e+02
3.700000e-07	-7.466972e-06	-1.085572e-08	-5.598664e+01	-7.087029e+02
3.800000e-07	-7.459846e-06	-1.087855e-08	-5.593320e+01	-7.084529e+02
3.900000e-07	-7.452462e-06	-1.079656e-08	-5.587784e+01	-7.081955e+02
4.000000e-07	-7.444942e-06	-1.082731e-08	-5.582145e+01	-7.079314e+02
4.100000e-07	-7.437238e-06	-1.079805e-08	-5.576369e+01	-7.076612e+02
4.200000e-07	-7.429230e-06	-1.088003e-08	-5.570365e+01	-7.073852e+02
