# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_135200.35886120706
# 
Resultados:
# tau_ns_=_(2.58+/-0.02)e+02
# dphi_rad_=_6.50+/-0.00
# SAR_W/g_=_56.35+/-0.42
# Hc_kA/m_=_4.15+/-0.03
# Mr_A/m_=_79.47+/-0.56
# Magnetizacion_max_emu/g_=_29.97+/-0.09
# Suceptibilidad_a_M=0_=_(2.078+/-0.017)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
135kHz_040dA_100Mss_bobN1FR0010.txt		20.00	78.93	4.12	16162.20	300.34	1.351960e+05	8.780778e+00	6.496556e+00	55.79	255.036398	4438	2.093e-02
135kHz_040dA_100Mss_bobN1FR0011.txt		20.00	79.59	4.10	16162.20	302.65	1.351960e+05	8.850051e+00	6.496998e+00	56.34	255.583130	4438	2.106e-02
135kHz_040dA_100Mss_bobN1FR0012.txt		20.00	79.05	4.13	16162.20	299.96	1.352265e+05	8.780662e+00	6.498712e+00	56.36	257.695611	4437	2.078e-02
135kHz_040dA_100Mss_bobN1FR0013.txt		20.00	79.26	4.13	16162.20	300.49	1.351960e+05	8.786279e+00	6.498206e+00	56.25	257.071185	4438	2.061e-02
135kHz_040dA_100Mss_bobN1FR0014.txt		20.00	79.11	4.14	16162.20	299.72	1.352265e+05	8.770690e+00	6.497763e+00	56.05	256.524755	4437	2.082e-02
135kHz_040dA_100Mss_bobN1FR0015.txt		20.00	78.65	4.09	16162.20	301.50	1.352265e+05	8.819574e+00	6.494625e+00	55.55	252.660491	4437	2.100e-02
135kHz_040dA_100Mss_bobN1FR0016.txt		20.00	79.33	4.13	16162.20	300.27	1.351960e+05	8.787393e+00	6.497866e+00	56.17	256.653853	4438	2.065e-02
135kHz_040dA_100Mss_bobN1FR0017.txt		20.00	79.37	4.14	16162.20	299.86	1.351960e+05	8.771151e+00	6.498347e+00	56.19	257.245011	4438	2.078e-02
135kHz_040dA_100Mss_bobN1FR0018.txt		20.00	79.06	4.16	16162.20	299.30	1.351960e+05	8.752460e+00	6.499811e+00	56.44	259.052439	4438	2.070e-02
135kHz_040dA_100Mss_bobN1FR0019.txt		20.00	78.67	4.13	16162.20	298.89	1.351960e+05	8.743940e+00	6.498224e+00	55.98	257.100322	4438	2.066e-02
135kHz_040dA_100Mss_bobN1FR0020.txt		20.00	79.95	4.17	16162.20	300.54	1.352265e+05	8.788007e+00	6.500867e+00	56.96	260.360199	4437	2.070e-02
135kHz_040dA_100Mss_bobN1FR0021.txt		20.00	80.46	4.18	16162.20	300.22	1.351960e+05	8.795982e+00	6.501305e+00	57.11	260.899160	4438	2.102e-02
135kHz_040dA_100Mss_bobN1FR0022.txt		20.00	79.04	4.11	16162.20	300.11	1.351960e+05	8.788520e+00	6.497567e+00	56.10	256.288915	4438	2.110e-02
135kHz_040dA_100Mss_bobN1FR0023.txt		20.00	79.67	4.15	16162.20	299.70	1.352265e+05	8.756867e+00	6.498973e+00	56.27	258.021848	4437	2.042e-02
135kHz_040dA_100Mss_bobN1FR0024.txt		20.00	79.32	4.15	16162.20	298.92	1.352265e+05	8.756519e+00	6.498907e+00	56.25	257.938954	4437	2.077e-02
135kHz_040dA_100Mss_bobN1FR0025.txt		20.00	79.96	4.18	16162.20	298.86	1.352265e+05	8.742819e+00	6.501937e+00	56.94	261.683958	4437	2.069e-02
135kHz_040dA_100Mss_bobN1FR0026.txt		20.00	79.76	4.15	16162.20	299.44	1.351960e+05	8.759735e+00	6.499290e+00	56.36	258.414663	4438	2.078e-02
135kHz_040dA_100Mss_bobN1FR0027.txt		20.00	80.82	4.20	16162.20	300.86	1.351960e+05	8.805423e+00	6.500977e+00	57.09	260.499743	4438	2.102e-02
135kHz_040dA_100Mss_bobN1FR0028.txt		20.00	79.59	4.17	16162.20	299.77	1.351960e+05	8.765726e+00	6.500091e+00	56.60	259.406212	4438	2.065e-02
135kHz_040dA_100Mss_bobN1FR0029.txt		20.00	78.49	4.09	16162.20	299.28	1.351960e+05	8.765856e+00	6.496266e+00	55.62	254.687201	4438	2.078e-02
135kHz_040dA_100Mss_bobN1FR0030.txt		20.00	79.76	4.16	16162.20	299.15	1.351960e+05	8.763632e+00	6.499293e+00	56.38	258.420410	4438	2.077e-02
135kHz_040dA_100Mss_bobN1FR0031.txt		20.00	79.72	4.16	16162.20	299.66	1.351960e+05	8.765716e+00	6.499071e+00	56.34	258.146302	4438	2.062e-02
135kHz_040dA_100Mss_bobN1FR0032.txt		20.00	79.45	4.16	16162.20	299.76	1.351960e+05	8.768667e+00	6.500285e+00	56.67	259.645887	4438	2.088e-02
135kHz_040dA_100Mss_bobN1FR0033.txt		20.00	79.81	4.17	16162.20	299.62	1.352265e+05	8.771668e+00	6.499041e+00	56.38	258.109835	4437	2.063e-02
135kHz_040dA_100Mss_bobN1FR0034.txt		20.00	79.82	4.17	16162.20	299.14	1.351960e+05	8.762232e+00	6.501281e+00	56.88	260.879022	4438	2.076e-02
135kHz_040dA_100Mss_bobN1FR0035.txt		20.00	80.39	4.16	16162.20	299.12	1.352265e+05	8.757315e+00	6.499851e+00	56.50	259.111880	4437	2.101e-02
135kHz_040dA_100Mss_bobN1FR0036.txt		20.00	78.78	4.14	16162.20	298.36	1.351960e+05	8.736290e+00	6.498051e+00	55.89	256.891374	4438	2.070e-02
135kHz_040dA_100Mss_bobN1FR0037.txt		20.00	78.84	4.14	16162.20	298.75	1.351960e+05	8.739948e+00	6.499464e+00	56.28	258.634704	4438	2.068e-02
135kHz_040dA_100Mss_bobN1FR0038.txt		20.00	79.06	4.13	16162.20	298.21	1.351960e+05	8.721057e+00	6.497156e+00	55.56	255.788840	4438	2.051e-02
135kHz_040dA_100Mss_bobN1FR0039.txt		20.00	79.70	4.18	16162.20	298.17	1.352265e+05	8.725537e+00	6.500731e+00	56.52	260.198092	4437	2.067e-02
135kHz_040dA_100Mss_bobN1FR0040.txt		20.00	80.40	4.17	16162.20	299.39	1.351960e+05	8.779113e+00	6.502022e+00	57.18	261.795251	4438	2.102e-02
