# 260624_17:15:15.230730
t	CH1	CH2
0.000000e+00	-2.625061e-03	7.053410e+00
1.000000e-08	-3.375807e-03	7.030875e+00
2.000000e-08	-4.896624e-03	6.989247e+00
3.000000e-08	-5.923944e-03	6.917196e+00
4.000000e-08	-4.441264e-03	6.882608e+00
5.000000e-08	-2.266847e-03	6.822453e+00
6.000000e-08	-3.950336e-03	6.770426e+00
7.000000e-08	-4.883802e-03	6.788823e+00
8.000000e-08	-4.700688e-03	6.686593e+00
9.000000e-08	-3.754847e-03	6.674081e+00
1.000000e-07	-3.776516e-03	6.478667e+00
1.100000e-07	-5.647980e-03	6.471557e+00
1.200000e-07	-5.254648e-03	6.389425e+00
1.300000e-07	-3.949872e-03	6.368821e+00
1.400000e-07	-3.491789e-03	6.286167e+00
1.500000e-07	-6.063369e-03	6.264634e+00
1.600000e-07	-5.019781e-03	6.159373e+00
1.700000e-07	-4.180047e-03	6.128288e+00
1.800000e-07	-3.091803e-03	6.074557e+00
1.900000e-07	-4.517301e-03	6.011003e+00
2.000000e-07	-4.864436e-03	5.948824e+00
2.100000e-07	-5.274085e-03	5.876713e+00
2.200000e-07	-4.309404e-03	5.770820e+00
2.300000e-07	-5.241201e-03	5.642635e+00
2.400000e-07	-5.477651e-03	5.599000e+00
2.500000e-07	-5.267747e-03	5.557867e+00
2.600000e-07	-3.945562e-03	5.453133e+00
2.700000e-07	-3.198318e-03	5.359450e+00
2.800000e-07	-4.440593e-03	5.287308e+00
2.900000e-07	-4.771083e-03	5.209050e+00
3.000000e-07	-4.239680e-03	5.077238e+00
3.100000e-07	-3.917064e-03	4.980916e+00
3.200000e-07	-4.725613e-03	4.831129e+00
3.300000e-07	-5.097146e-03	4.749516e+00
3.400000e-07	-4.389513e-03	4.665232e+00
3.500000e-07	-4.440150e-03	4.589070e+00
3.600000e-07	-3.710411e-03	4.474308e+00
3.700000e-07	-5.162501e-03	4.420174e+00
3.800000e-07	-4.252303e-03	4.326966e+00
3.900000e-07	-3.744529e-03	4.180696e+00
4.000000e-07	-3.677949e-03	4.042278e+00
4.100000e-07	-4.841650e-03	3.999145e+00
4.200000e-07	-4.862235e-03	3.865254e+00
4.300000e-07	-5.046468e-03	3.747540e+00
4.400000e-07	-4.242861e-03	3.643454e+00
4.500000e-07	-5.017779e-03	3.590594e+00
4.600000e-07	-3.985505e-03	3.474928e+00
4.700000e-07	-4.562050e-03	3.317061e+00
4.800000e-07	-4.031488e-03	3.210222e+00
4.900000e-07	-4.123796e-03	3.086488e+00
5.000000e-07	-3.926353e-03	3.001796e+00
5.100000e-07	-4.473218e-03	2.916483e+00
5.200000e-07	-4.632486e-03	2.820772e+00
5.300000e-07	-4.624482e-03	2.765106e+00
5.400000e-07	-4.621775e-03	2.624717e+00
5.500000e-07	-4.751500e-03	2.388799e+00
5.600000e-07	-4.266649e-03	2.286081e+00
5.700000e-07	-4.232526e-03	2.229722e+00
5.800000e-07	-4.417367e-03	2.074557e+00
5.900000e-07	-4.404433e-03	2.000348e+00
6.000000e-07	-4.326393e-03	1.927205e+00
6.100000e-07	-4.434026e-03	1.751714e+00
6.200000e-07	-4.648657e-03	1.640975e+00
6.300000e-07	-4.714252e-03	1.538637e+00
6.400000e-07	-4.930527e-03	1.409845e+00
6.500000e-07	-5.148681e-03	1.283979e+00
6.600000e-07	-4.551499e-03	1.167291e+00
6.700000e-07	-4.741509e-03	9.803109e-01
6.800000e-07	-5.001698e-03	8.336013e-01
6.900000e-07	-4.997923e-03	7.182870e-01
7.000000e-07	-4.433932e-03	6.404686e-01
7.100000e-07	-5.076093e-03	4.656555e-01
7.200000e-07	-4.607143e-03	3.700148e-01
7.300000e-07	-5.224330e-03	2.752779e-01
7.400000e-07	-4.583225e-03	8.483165e-02
7.500000e-07	-2.937377e-03	-2.056158e-02
7.600000e-07	-2.243095e-03	-1.263184e-01
7.700000e-07	-7.569485e-04	-2.710366e-01
7.800000e-07	-1.914461e-03	-3.688722e-01
7.900000e-07	-3.059015e-03	-4.410090e-01
8.000000e-07	-2.194567e-03	-5.658712e-01
8.100000e-07	-3.160880e-03	-7.152957e-01
8.200000e-07	-1.063385e-03	-8.209090e-01
8.300000e-07	2.197249e-02	-8.851946e-01
8.400000e-07	4.374037e-02	-1.050044e+00
8.500000e-07	-9.726900e-03	-1.232022e+00
8.600000e-07	-7.417255e-02	-1.485672e+00
8.700000e-07	-5.366361e-02	-1.610354e+00
8.800000e-07	7.131630e-02	-1.579800e+00
8.900000e-07	2.493187e-02	-1.680993e+00
9.000000e-07	-1.055599e-01	-1.873014e+00
9.100000e-07	1.231498e-02	-1.958770e+00
9.200000e-07	9.015174e-02	-1.968229e+00
9.300000e-07	-1.016499e-01	-2.176784e+00
9.400000e-07	-1.233846e-02	-2.338172e+00
9.500000e-07	7.671179e-02	-2.388758e+00
9.600000e-07	-1.007141e-01	-2.514050e+00
9.700000e-07	-1.912795e-02	-2.602911e+00
9.800000e-07	9.752133e-02	-2.714973e+00
9.900000e-07	-6.566145e-02	-2.811364e+00
1.000000e-06	-2.036632e-02	-2.960054e+00
1.010000e-06	4.192919e-02	-3.103869e+00
1.020000e-06	-4.903259e-02	-3.221788e+00
1.030000e-06	2.472603e-02	-3.336522e+00
1.040000e-06	9.640808e-03	-3.409209e+00
1.050000e-06	-5.078750e-02	-3.523997e+00
1.060000e-06	5.500852e-02	-3.599183e+00
1.070000e-06	1.262959e-02	-3.704029e+00
1.080000e-06	-5.716463e-02	-3.895995e+00
1.090000e-06	1.778060e-02	-3.979606e+00
1.100000e-06	-1.413428e-02	-4.103318e+00
1.110000e-06	7.877596e-03	-4.219134e+00
1.120000e-06	2.057502e-02	-4.253346e+00
1.130000e-06	-2.005054e-02	-4.378554e+00
1.140000e-06	2.725685e-03	-4.461790e+00
1.150000e-06	-2.597144e-04	-4.547008e+00
1.160000e-06	-3.298821e-04	-4.665737e+00
1.170000e-06	-8.980809e-03	-4.755957e+00
1.180000e-06	-1.666896e-02	-4.882767e+00
1.190000e-06	2.088543e-02	-4.977476e+00
1.200000e-06	-1.676390e-03	-5.041691e+00
1.210000e-06	-8.017872e-03	-5.117924e+00
1.220000e-06	2.257355e-03	-5.198618e+00
1.230000e-06	-1.412582e-02	-5.344006e+00
1.240000e-06	1.300233e-02	-5.463567e+00
1.250000e-06	5.435239e-04	-5.537472e+00
1.260000e-06	-1.364075e-02	-5.621585e+00
1.270000e-06	2.365538e-03	-5.682618e+00
1.280000e-06	-7.550047e-03	-5.728480e+00
1.290000e-06	7.321790e-03	-5.822089e+00
1.300000e-06	-3.614608e-03	-5.894718e+00
1.310000e-06	-9.783961e-03	-5.938877e+00
1.320000e-06	5.055935e-03	-5.990509e+00
1.330000e-06	1.438241e-03	-6.064669e+00
1.340000e-06	5.882251e-04	-6.171337e+00
1.350000e-06	-1.433163e-02	-6.255647e+00
1.360000e-06	-4.122759e-03	-6.347850e+00
1.370000e-06	6.088607e-03	-6.410855e+00
1.380000e-06	-1.857349e-03	-6.451591e+00
1.390000e-06	-2.130844e-03	-6.505197e+00
1.400000e-06	-6.208027e-03	-6.589277e+00
1.410000e-06	1.112656e-03	-6.630987e+00
1.420000e-06	2.577231e-03	-6.664094e+00
1.430000e-06	-5.617693e-03	-6.736825e+00
1.440000e-06	-3.518795e-03	-6.768881e+00
1.450000e-06	-2.888352e-03	-6.830863e+00
1.460000e-06	1.555783e-03	-6.822472e+00
1.470000e-06	-1.558738e-03	-6.915245e+00
1.480000e-06	-7.889657e-03	-6.991861e+00
1.490000e-06	-3.578939e-03	-7.011614e+00
1.500000e-06	7.725280e-05	-7.116674e+00
1.510000e-06	2.398838e-03	-7.158323e+00
1.520000e-06	-3.451639e-03	-7.158779e+00
1.530000e-06	-4.253079e-03	-7.199830e+00
1.540000e-06	-9.098660e-04	-7.230358e+00
1.550000e-06	-2.373389e-04	-7.233407e+00
1.560000e-06	-2.820857e-03	-7.231489e+00
1.570000e-06	-7.251502e-03	-7.284618e+00
1.580000e-06	-1.816943e-03	-7.247543e+00
1.590000e-06	2.031114e-03	-7.296147e+00
1.600000e-06	1.687376e-05	-7.366697e+00
1.610000e-06	-3.399994e-03	-7.335200e+00
1.620000e-06	-3.541702e-03	-7.318300e+00
1.630000e-06	-4.857817e-04	-7.349796e+00
1.640000e-06	-1.177725e-03	-7.318825e+00
1.650000e-06	-5.080692e-03	-7.349255e+00
1.660000e-06	-4.366092e-03	-7.349827e+00
1.670000e-06	-6.619207e-04	-7.388877e+00
1.680000e-06	6.728893e-04	-7.368277e+00
1.690000e-06	-2.077107e-03	-7.338800e+00
1.700000e-06	-3.306666e-03	-7.368300e+00
1.710000e-06	-2.773040e-03	-7.350224e+00
1.720000e-06	-4.449022e-05	-7.327225e+00
1.730000e-06	-1.219966e-03	-7.338224e+00
1.740000e-06	-4.389180e-03	-7.356749e+00
1.750000e-06	-3.293688e-03	-7.298799e+00
1.760000e-06	-9.541426e-04	-7.318172e+00
1.770000e-06	-1.264349e-03	-7.296015e+00
1.780000e-06	-3.924560e-03	-7.276039e+00
1.790000e-06	-4.521367e-03	-7.295034e+00
1.800000e-06	-1.900298e-03	-7.212988e+00
1.810000e-06	-4.477093e-04	-7.222927e+00
1.820000e-06	-2.680441e-03	-7.230404e+00
1.830000e-06	-3.974147e-03	-7.189350e+00
1.840000e-06	-3.462104e-03	-7.157749e+00
1.850000e-06	-2.224436e-03	-7.098145e+00
1.860000e-06	-2.594338e-03	-7.036662e+00
1.870000e-06	-4.484527e-03	-6.971334e+00
1.880000e-06	-3.919654e-03	-6.918326e+00
1.890000e-06	-2.255513e-03	-6.866141e+00
1.900000e-06	-1.298101e-03	-6.831028e+00
1.910000e-06	-2.943819e-03	-6.789404e+00
1.920000e-06	-3.596016e-03	-6.757321e+00
1.930000e-06	-4.539526e-03	-6.716146e+00
1.940000e-06	-2.422296e-03	-6.654109e+00
1.950000e-06	-3.399969e-03	-6.590504e+00
1.960000e-06	-4.211602e-03	-6.537867e+00
1.970000e-06	-4.488044e-03	-6.524143e+00
1.980000e-06	-2.955475e-03	-6.432555e+00
1.990000e-06	-1.837523e-03	-6.399975e+00
2.000000e-06	-3.667283e-03	-6.346822e+00
2.010000e-06	-3.893880e-03	-6.286688e+00
2.020000e-06	-2.937235e-03	-6.140923e+00
2.030000e-06	-3.361448e-03	-6.027640e+00
2.040000e-06	-3.370729e-03	-6.000504e+00
2.050000e-06	-4.194540e-03	-5.968449e+00
2.060000e-06	-4.251265e-03	-5.886214e+00
2.070000e-06	-2.939777e-03	-5.853132e+00
2.080000e-06	-3.008533e-03	-5.738447e+00
2.090000e-06	-4.270871e-03	-5.685184e+00
2.100000e-06	-3.906868e-03	-5.571604e+00
2.110000e-06	-2.673085e-03	-5.569420e+00
2.120000e-06	-2.487651e-03	-5.429154e+00
2.130000e-06	-4.528389e-03	-5.318863e+00
2.140000e-06	-4.010430e-03	-5.210627e+00
2.150000e-06	-4.609216e-03	-5.107940e+00
2.160000e-06	-2.853005e-03	-5.043757e+00
2.170000e-06	-1.828502e-03	-4.918515e+00
2.180000e-06	-2.817910e-03	-4.831151e+00
2.190000e-06	-4.009840e-03	-4.706366e+00
2.200000e-06	-2.854951e-03	-4.581652e+00
2.210000e-06	-1.273978e-03	-4.535416e+00
2.220000e-06	-3.387333e-03	-4.451203e+00
2.230000e-06	-3.669316e-03	-4.379041e+00
2.240000e-06	-4.478593e-03	-4.274362e+00
