# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_300949.0608749176

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-4.553652e-06	-8.892037e-09	-3.088398e+01	-6.321536e+02
1.000000e-08	-4.552474e-06	-8.891014e-09	-3.087599e+01	-6.335809e+02
2.000000e-08	-4.549565e-06	-8.889523e-09	-3.085627e+01	-6.347813e+02
3.000000e-08	-4.545089e-06	-8.890225e-09	-3.082591e+01	-6.357545e+02
4.000000e-08	-4.539282e-06	-8.890066e-09	-3.078652e+01	-6.365001e+02
5.000000e-08	-4.532096e-06	-8.883395e-09	-3.073779e+01	-6.370178e+02
6.000000e-08	-4.523603e-06	-8.872349e-09	-3.068018e+01	-6.373075e+02
7.000000e-08	-4.513551e-06	-8.848305e-09	-3.061201e+01	-6.373690e+02
8.000000e-08	-4.501673e-06	-8.829295e-09	-3.053145e+01	-6.372023e+02
9.000000e-08	-4.487867e-06	-8.883661e-09	-3.043781e+01	-6.368075e+02
1.000000e-07	-4.471750e-06	-8.895321e-09	-3.032850e+01	-6.361848e+02
1.100000e-07	-4.453494e-06	-8.846280e-09	-3.020469e+01	-6.353343e+02
1.200000e-07	-4.433781e-06	-8.769539e-09	-3.007099e+01	-6.342563e+02
1.300000e-07	-4.413120e-06	-8.631167e-09	-2.993086e+01	-6.329513e+02
1.400000e-07	-4.391477e-06	-8.784008e-09	-2.978407e+01	-6.314196e+02
1.500000e-07	-4.368354e-06	-8.854965e-09	-2.962725e+01	-6.296619e+02
1.600000e-07	-4.343915e-06	-8.576758e-09	-2.946149e+01	-6.276788e+02
1.700000e-07	-4.318112e-06	-8.697037e-09	-2.928649e+01	-6.254709e+02
1.800000e-07	-4.290426e-06	-8.778541e-09	-2.909872e+01	-6.230391e+02
1.900000e-07	-4.261180e-06	-8.541286e-09	-2.890037e+01	-6.203843e+02
2.000000e-07	-4.230738e-06	-8.682946e-09	-2.869390e+01	-6.175073e+02
2.100000e-07	-4.198824e-06	-8.685152e-09	-2.847745e+01	-6.144092e+02
2.200000e-07	-4.165232e-06	-8.404528e-09	-2.824962e+01	-6.110911e+02
2.300000e-07	-4.130058e-06	-8.501463e-09	-2.801106e+01	-6.075543e+02
2.400000e-07	-4.093508e-06	-8.562870e-09	-2.776317e+01	-6.037999e+02
2.500000e-07	-4.055536e-06	-8.456334e-09	-2.750563e+01	-5.998293e+02
2.600000e-07	-4.016031e-06	-8.439329e-09	-2.723770e+01	-5.956439e+02
2.700000e-07	-3.975210e-06	-8.328549e-09	-2.696084e+01	-5.912453e+02
2.800000e-07	-3.933027e-06	-8.317055e-09	-2.667475e+01	-5.866349e+02
2.900000e-07	-3.889247e-06	-8.363282e-09	-2.637783e+01	-5.818145e+02
3.000000e-07	-3.843904e-06	-8.246278e-09	-2.607030e+01	-5.767857e+02
3.100000e-07	-3.797105e-06	-8.152960e-09	-2.575289e+01	-5.715504e+02
3.200000e-07	-3.748967e-06	-8.139293e-09	-2.542641e+01	-5.661104e+02
3.300000e-07	-3.699515e-06	-8.134924e-09	-2.509102e+01	-5.604677e+02
3.400000e-07	-3.648394e-06	-8.090866e-09	-2.474430e+01	-5.546243e+02
3.500000e-07	-3.595533e-06	-8.011110e-09	-2.438578e+01	-5.485823e+02
3.600000e-07	-3.541293e-06	-7.916989e-09	-2.401791e+01	-5.423437e+02
3.700000e-07	-3.485867e-06	-7.860882e-09	-2.364200e+01	-5.359110e+02
3.800000e-07	-3.429427e-06	-7.882658e-09	-2.325921e+01	-5.292863e+02
3.900000e-07	-3.371690e-06	-7.810649e-09	-2.286763e+01	-5.224720e+02
4.000000e-07	-3.312372e-06	-7.671449e-09	-2.246532e+01	-5.154706e+02
4.100000e-07	-3.251873e-06	-7.619196e-09	-2.205500e+01	-5.082846e+02
4.200000e-07	-3.190415e-06	-7.589600e-09	-2.163818e+01	-5.009165e+02
4.300000e-07	-3.127922e-06	-7.539700e-09	-2.121433e+01	-4.933690e+02
4.400000e-07	-3.064362e-06	-7.437792e-09	-2.078325e+01	-4.856447e+02
4.500000e-07	-2.999828e-06	-7.320100e-09	-2.034556e+01	-4.777465e+02
4.600000e-07	-2.934156e-06	-7.277079e-09	-1.990016e+01	-4.696771e+02
4.700000e-07	-2.867055e-06	-7.244214e-09	-1.944507e+01	-4.614394e+02
4.800000e-07	-2.798854e-06	-7.161924e-09	-1.898251e+01	-4.530364e+02
4.900000e-07	-2.729822e-06	-7.032213e-09	-1.851432e+01	-4.444711e+02
5.000000e-07	-2.659871e-06	-6.930240e-09	-1.803990e+01	-4.357465e+02
5.100000e-07	-2.589032e-06	-6.879394e-09	-1.755945e+01	-4.268658e+02
5.200000e-07	-2.517406e-06	-6.810633e-09	-1.707366e+01	-4.178322e+02
5.300000e-07	-2.445030e-06	-6.699416e-09	-1.658279e+01	-4.086487e+02
5.400000e-07	-2.371758e-06	-6.566487e-09	-1.608584e+01	-3.993189e+02
5.500000e-07	-2.297305e-06	-6.482640e-09	-1.558088e+01	-3.898459e+02
5.600000e-07	-2.221717e-06	-6.424342e-09	-1.506823e+01	-3.802332e+02
5.700000e-07	-2.145272e-06	-6.320964e-09	-1.454976e+01	-3.704841e+02
5.800000e-07	-2.067981e-06	-6.174844e-09	-1.402555e+01	-3.606023e+02
5.900000e-07	-1.989833e-06	-6.041236e-09	-1.349553e+01	-3.505911e+02
6.000000e-07	-1.911000e-06	-5.952799e-09	-1.296087e+01	-3.404543e+02
6.100000e-07	-1.831443e-06	-5.864192e-09	-1.242129e+01	-3.301954e+02
