# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302006.5799034309
# Promedio de 34 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-1.639121e-09	-2.966637e-09	-1.053173e+01	-1.939166e+02
1.000000e-08	-1.638895e-09	-2.969089e-09	-1.053028e+01	-1.941713e+02
2.000000e-08	-1.638305e-09	-2.970783e-09	-1.052648e+01	-1.943487e+02
3.000000e-08	-1.637222e-09	-2.972971e-09	-1.051952e+01	-1.944614e+02
4.000000e-08	-1.635441e-09	-2.972137e-09	-1.050808e+01	-1.945190e+02
5.000000e-08	-1.632825e-09	-2.973941e-09	-1.049127e+01	-1.945190e+02
6.000000e-08	-1.629389e-09	-2.994704e-09	-1.046920e+01	-1.944450e+02
7.000000e-08	-1.625283e-09	-2.995732e-09	-1.044281e+01	-1.942744e+02
8.000000e-08	-1.620659e-09	-2.941647e-09	-1.041310e+01	-1.939932e+02
9.000000e-08	-1.615602e-09	-2.934837e-09	-1.038061e+01	-1.936082e+02
1.000000e-07	-1.610100e-09	-2.976681e-09	-1.034526e+01	-1.931472e+02
1.100000e-07	-1.604059e-09	-2.977715e-09	-1.030644e+01	-1.926456e+02
1.200000e-07	-1.597404e-09	-2.919600e-09	-1.026368e+01	-1.921270e+02
1.300000e-07	-1.590188e-09	-2.904468e-09	-1.021732e+01	-1.915875e+02
1.400000e-07	-1.582488e-09	-2.948243e-09	-1.016784e+01	-1.909962e+02
1.500000e-07	-1.574332e-09	-2.934393e-09	-1.011544e+01	-1.903114e+02
1.600000e-07	-1.565770e-09	-2.884104e-09	-1.006043e+01	-1.895034e+02
1.700000e-07	-1.556747e-09	-2.884028e-09	-1.000245e+01	-1.885722e+02
1.800000e-07	-1.546935e-09	-2.889239e-09	-9.939407e+00	-1.875467e+02
1.900000e-07	-1.536070e-09	-2.840884e-09	-9.869599e+00	-1.864694e+02
2.000000e-07	-1.524365e-09	-2.825545e-09	-9.794390e+00	-1.853731e+02
2.100000e-07	-1.512166e-09	-2.853942e-09	-9.716008e+00	-1.842649e+02
2.200000e-07	-1.499459e-09	-2.819115e-09	-9.634366e+00	-1.831252e+02
2.300000e-07	-1.486098e-09	-2.746113e-09	-9.548517e+00	-1.819222e+02
2.400000e-07	-1.472178e-09	-2.758477e-09	-9.459073e+00	-1.806305e+02
2.500000e-07	-1.457814e-09	-2.784501e-09	-9.366786e+00	-1.792451e+02
2.600000e-07	-1.442811e-09	-2.726072e-09	-9.270389e+00	-1.777816e+02
2.700000e-07	-1.426949e-09	-2.664178e-09	-9.168469e+00	-1.762658e+02
2.800000e-07	-1.410337e-09	-2.676945e-09	-9.061737e+00	-1.747195e+02
2.900000e-07	-1.393192e-09	-2.675919e-09	-8.951575e+00	-1.731503e+02
3.000000e-07	-1.375614e-09	-2.628661e-09	-8.838629e+00	-1.715507e+02
3.100000e-07	-1.357675e-09	-2.596183e-09	-8.723370e+00	-1.699045e+02
3.200000e-07	-1.339364e-09	-2.574869e-09	-8.605716e+00	-1.681959e+02
3.300000e-07	-1.320563e-09	-2.543756e-09	-8.484918e+00	-1.664160e+02
3.400000e-07	-1.301237e-09	-2.527957e-09	-8.360741e+00	-1.645653e+02
3.500000e-07	-1.281464e-09	-2.510593e-09	-8.233695e+00	-1.626518e+02
3.600000e-07	-1.261354e-09	-2.456023e-09	-8.104482e+00	-1.606874e+02
3.700000e-07	-1.240974e-09	-2.415694e-09	-7.973537e+00	-1.586838e+02
3.800000e-07	-1.220320e-09	-2.409229e-09	-7.840832e+00	-1.566497e+02
3.900000e-07	-1.199311e-09	-2.388753e-09	-7.705845e+00	-1.545883e+02
4.000000e-07	-1.177839e-09	-2.334832e-09	-7.567879e+00	-1.524975e+02
4.100000e-07	-1.155886e-09	-2.290421e-09	-7.426824e+00	-1.503719e+02
4.200000e-07	-1.133547e-09	-2.267642e-09	-7.283296e+00	-1.482061e+02
4.300000e-07	-1.110882e-09	-2.250774e-09	-7.137666e+00	-1.459992e+02
4.400000e-07	-1.087826e-09	-2.214769e-09	-6.989523e+00	-1.437549e+02
4.500000e-07	-1.064316e-09	-2.159686e-09	-6.838468e+00	-1.414792e+02
4.600000e-07	-1.040409e-09	-2.119999e-09	-6.684862e+00	-1.391750e+02
4.700000e-07	-1.016243e-09	-2.099763e-09	-6.529587e+00	-1.368370e+02
4.800000e-07	-9.918878e-10	-2.070680e-09	-6.373101e+00	-1.344527e+02
4.900000e-07	-9.673081e-10	-2.020309e-09	-6.215171e+00	-1.320076e+02
5.000000e-07	-9.424205e-10	-1.973163e-09	-6.055263e+00	-1.294949e+02
5.100000e-07	-9.171122e-10	-1.937760e-09	-5.892651e+00	-1.269211e+02
5.200000e-07	-8.912789e-10	-1.911593e-09	-5.726666e+00	-1.243054e+02
5.300000e-07	-8.648710e-10	-1.875246e-09	-5.556989e+00	-1.216716e+02
5.400000e-07	-8.379144e-10	-1.819675e-09	-5.383787e+00	-1.190354e+02
5.500000e-07	-8.104912e-10	-1.769253e-09	-5.207587e+00	-1.163963e+02
5.600000e-07	-7.827225e-10	-1.741150e-09	-5.029166e+00	-1.137372e+02
5.700000e-07	-7.547157e-10	-1.712327e-09	-4.849216e+00	-1.110328e+02
5.800000e-07	-7.265392e-10	-1.661034e-09	-4.668176e+00	-1.082630e+02
5.900000e-07	-6.982419e-10	-1.606532e-09	-4.486359e+00	-1.054227e+02
6.000000e-07	-6.698286e-10	-1.564998e-09	-4.303797e+00	-1.025242e+02
6.100000e-07	-6.412690e-10	-1.532315e-09	-4.120295e+00	-9.959039e+01
6.200000e-07	-6.125069e-10	-1.490200e-09	-3.935492e+00	-9.664411e+01
6.300000e-07	-5.834972e-10	-1.435620e-09	-3.749098e+00	-9.369737e+01
6.400000e-07	-5.542708e-10	-1.383481e-09	-3.561312e+00	-9.074721e+01
6.500000e-07	-5.248509e-10	-1.344718e-09	-3.372283e+00	-8.777837e+01
6.600000e-07	-4.952002e-10	-1.308988e-09	-3.181770e+00	-8.477124e+01
6.700000e-07	-4.653257e-10	-1.259208e-09	-2.989819e+00	-8.171088e+01
6.800000e-07	-4.352915e-10	-1.201302e-09	-2.796843e+00	-7.859362e+01
6.900000e-07	-4.051477e-10	-1.150723e-09	-2.603162e+00	-7.542886e+01
7.000000e-07	-3.749020e-10	-1.110928e-09	-2.408826e+00	-7.223576e+01
7.100000e-07	-3.445513e-10	-1.066389e-09	-2.213816e+00	-6.903605e+01
7.200000e-07	-3.141089e-10	-1.009878e-09	-2.018217e+00	-6.584555e+01
7.300000e-07	-2.836043e-10	-9.532582e-10	-1.822218e+00	-6.266724e+01
7.400000e-07	-2.530543e-10	-9.089866e-10	-1.625927e+00	-5.948897e+01
7.500000e-07	-2.224279e-10	-8.695234e-10	-1.429145e+00	-5.628714e+01
7.600000e-07	-1.916962e-10	-8.192169e-10	-1.231687e+00	-5.303568e+01
7.700000e-07	-1.608907e-10	-7.595011e-10	-1.033755e+00	-4.971700e+01
7.800000e-07	-1.300496e-10	-7.031535e-10	-8.355942e-01	-4.632994e+01
7.900000e-07	-9.918246e-11	-6.568930e-10	-6.372655e-01	-4.289101e+01
8.000000e-07	-6.828996e-11	-6.086298e-10	-4.387741e-01	-3.942743e+01
8.100000e-07	-3.735793e-11	-5.501026e-10	-2.400289e-01	-3.596514e+01
8.200000e-07	-6.419118e-12	-4.899000e-10	-4.123996e-02	-3.251711e+01
8.300000e-07	2.448175e-11	-4.381836e-10	1.573051e-01	-2.907788e+01
8.400000e-07	5.536909e-11	-3.916999e-10	3.557633e-01	-2.562699e+01
8.500000e-07	8.628043e-11	-3.387827e-10	5.543757e-01	-2.213994e+01
8.600000e-07	1.171969e-10	-2.779828e-10	7.530211e-01	-1.860111e+01
8.700000e-07	1.480561e-10	-2.189687e-10	9.512987e-01	-1.501235e+01
8.800000e-07	1.788266e-10	-1.680302e-10	1.149006e+00	-1.139270e+01
8.900000e-07	2.095179e-10	-1.169747e-10	1.346204e+00	-7.769564e+00
9.000000e-07	2.401536e-10	-5.855814e-11	1.543046e+00	-4.165535e+00
9.100000e-07	2.707297e-10	2.780344e-12	1.739504e+00	-5.876073e-01
9.200000e-07	3.012256e-10	5.813539e-11	1.935447e+00	2.975780e+00
9.300000e-07	3.316390e-10	1.073746e-10	2.130860e+00	6.548333e+00
9.400000e-07	3.619842e-10	1.603409e-10	2.325835e+00	1.015339e+01
9.500000e-07	3.922650e-10	2.210693e-10	2.520396e+00	1.380175e+01
9.600000e-07	4.224562e-10	2.818707e-10	2.714381e+00	1.748613e+01
9.700000e-07	4.525396e-10	3.355307e-10	2.907674e+00	2.118525e+01
