# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301993.7547506645

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-1.639767e-06	-2.968797e-09	-1.053118e+01	-1.938024e+02
1.000000e-08	-1.639489e-06	-2.970082e-09	-1.052939e+01	-1.939983e+02
2.000000e-08	-1.638814e-06	-2.969588e-09	-1.052506e+01	-1.940996e+02
3.000000e-08	-1.637629e-06	-2.971274e-09	-1.051745e+01	-1.941659e+02
4.000000e-08	-1.635771e-06	-2.971592e-09	-1.050551e+01	-1.942377e+02
5.000000e-08	-1.633103e-06	-2.981268e-09	-1.048838e+01	-1.943112e+02
6.000000e-08	-1.629627e-06	-3.015321e-09	-1.046605e+01	-1.943382e+02
7.000000e-08	-1.625489e-06	-2.992785e-09	-1.043948e+01	-1.942526e+02
8.000000e-08	-1.620828e-06	-2.906704e-09	-1.040954e+01	-1.940096e+02
9.000000e-08	-1.615742e-06	-2.927053e-09	-1.037688e+01	-1.936124e+02
1.000000e-07	-1.610175e-06	-3.020629e-09	-1.034113e+01	-1.931116e+02
1.100000e-07	-1.603979e-06	-2.994994e-09	-1.030133e+01	-1.925756e+02
1.200000e-07	-1.597166e-06	-2.881325e-09	-1.025758e+01	-1.920517e+02
1.300000e-07	-1.589839e-06	-2.886891e-09	-1.021052e+01	-1.915387e+02
1.400000e-07	-1.581991e-06	-2.987370e-09	-1.016012e+01	-1.909887e+02
1.500000e-07	-1.573707e-06	-2.949633e-09	-1.010691e+01	-1.903351e+02
1.600000e-07	-1.565105e-06	-2.856980e-09	-1.005167e+01	-1.895301e+02
1.700000e-07	-1.555951e-06	-2.880449e-09	-9.992880e+00	-1.885702e+02
1.800000e-07	-1.545892e-06	-2.908494e-09	-9.928275e+00	-1.874958e+02
1.900000e-07	-1.534810e-06	-2.831778e-09	-9.857104e+00	-1.863674e+02
2.000000e-07	-1.523021e-06	-2.824975e-09	-9.781392e+00	-1.852333e+02
2.100000e-07	-1.510783e-06	-2.887115e-09	-9.702791e+00	-1.841069e+02
2.200000e-07	-1.497921e-06	-2.810164e-09	-9.620188e+00	-1.829655e+02
2.300000e-07	-1.484387e-06	-2.705484e-09	-9.533269e+00	-1.817677e+02
2.400000e-07	-1.470384e-06	-2.771292e-09	-9.443336e+00	-1.804787e+02
2.500000e-07	-1.455986e-06	-2.834026e-09	-9.350867e+00	-1.790881e+02
2.600000e-07	-1.440914e-06	-2.705502e-09	-9.254070e+00	-1.776127e+02
2.700000e-07	-1.424980e-06	-2.624528e-09	-9.151733e+00	-1.760850e+02
2.800000e-07	-1.408305e-06	-2.697677e-09	-9.044644e+00	-1.745339e+02
2.900000e-07	-1.391046e-06	-2.713486e-09	-8.933801e+00	-1.729707e+02
3.000000e-07	-1.373342e-06	-2.614739e-09	-8.820101e+00	-1.713838e+02
3.100000e-07	-1.355327e-06	-2.574882e-09	-8.704401e+00	-1.697458e+02
3.200000e-07	-1.336900e-06	-2.578588e-09	-8.586057e+00	-1.680272e+02
3.300000e-07	-1.317989e-06	-2.549758e-09	-8.464599e+00	-1.662111e+02
3.400000e-07	-1.298644e-06	-2.535750e-09	-8.340358e+00	-1.643005e+02
3.500000e-07	-1.278843e-06	-2.516635e-09	-8.213192e+00	-1.623177e+02
3.600000e-07	-1.258671e-06	-2.444822e-09	-8.083641e+00	-1.602943e+02
3.700000e-07	-1.238210e-06	-2.400225e-09	-7.952234e+00	-1.582577e+02
3.800000e-07	-1.217468e-06	-2.426731e-09	-7.819022e+00	-1.562196e+02
3.900000e-07	-1.196359e-06	-2.404313e-09	-7.683448e+00	-1.541721e+02
4.000000e-07	-1.174778e-06	-2.318767e-09	-7.544849e+00	-1.520928e+02
4.100000e-07	-1.152755e-06	-2.263696e-09	-7.403412e+00	-1.499571e+02
4.200000e-07	-1.130397e-06	-2.274973e-09	-7.259817e+00	-1.477496e+02
4.300000e-07	-1.107730e-06	-2.270054e-09	-7.114244e+00	-1.454716e+02
4.400000e-07	-1.084620e-06	-2.205504e-09	-6.965821e+00	-1.431385e+02
4.500000e-07	-1.061041e-06	-2.132015e-09	-6.814390e+00	-1.407708e+02
4.600000e-07	-1.037091e-06	-2.110617e-09	-6.660572e+00	-1.383825e+02
4.700000e-07	-1.012863e-06	-2.109083e-09	-6.504969e+00	-1.359755e+02
4.800000e-07	-9.884577e-07	-2.063506e-09	-6.348232e+00	-1.335396e+02
4.900000e-07	-9.638222e-07	-1.999270e-09	-6.190014e+00	-1.310607e+02
5.000000e-07	-9.388638e-07	-1.950998e-09	-6.029722e+00	-1.285301e+02
5.100000e-07	-9.134440e-07	-1.929260e-09	-5.866467e+00	-1.259499e+02
5.200000e-07	-8.874821e-07	-1.912057e-09	-5.699730e+00	-1.233323e+02
5.300000e-07	-8.610192e-07	-1.869492e-09	-5.529776e+00	-1.206929e+02
5.400000e-07	-8.340771e-07	-1.795364e-09	-5.356744e+00	-1.180426e+02
5.500000e-07	-8.066910e-07	-1.747112e-09	-5.180861e+00	-1.153824e+02
5.600000e-07	-7.789591e-07	-1.740374e-09	-5.002757e+00	-1.127030e+02
5.700000e-07	-7.509402e-07	-1.710136e-09	-4.822809e+00	-1.099901e+02
5.800000e-07	-7.227034e-07	-1.640590e-09	-4.641462e+00	-1.072312e+02
5.900000e-07	-6.943561e-07	-1.579245e-09	-4.459405e+00	-1.044210e+02
6.000000e-07	-6.658945e-07	-1.553655e-09	-4.276615e+00	-1.015628e+02
6.100000e-07	-6.372904e-07	-1.530600e-09	-4.092909e+00	-9.866574e+01
6.200000e-07	-6.084764e-07	-1.481735e-09	-3.907855e+00	-9.574029e+01
6.300000e-07	-5.794159e-07	-1.412693e-09	-3.721218e+00	-9.279324e+01
6.400000e-07	-5.501703e-07	-1.360739e-09	-3.533392e+00	-8.982570e+01
6.500000e-07	-5.207603e-07	-1.336142e-09	-3.344511e+00	-8.683400e+01
6.600000e-07	-4.910752e-07	-1.302471e-09	-3.153863e+00	-8.381284e+01
6.700000e-07	-4.611172e-07	-1.241052e-09	-2.961461e+00	-8.075895e+01
6.800000e-07	-4.310292e-07	-1.175968e-09	-2.768225e+00	-7.767346e+01
6.900000e-07	-4.008330e-07	-1.136837e-09	-2.574294e+00	-7.456239e+01
