# 260612_13:08:09.484232
t	CH1	CH2
0.000000e+00	-3.436102e-03	1.547635e-01
1.000000e-08	-3.019749e-03	5.052902e-02
2.000000e-08	-4.434600e-03	2.947619e-02
3.000000e-08	-4.119034e-03	-8.160528e-02
4.000000e-08	-2.585387e-03	-1.263157e-01
5.000000e-08	-1.650630e-03	-1.695224e-01
6.000000e-08	-2.342901e-03	-2.016803e-01
7.000000e-08	-3.577319e-03	-2.768182e-01
8.000000e-08	-2.952668e-03	-3.388934e-01
9.000000e-08	3.958540e-03	-4.125263e-01
1.000000e-07	2.490388e-02	-4.331315e-01
1.100000e-07	4.077357e-04	-5.724774e-01
1.200000e-07	-5.321569e-02	-7.273869e-01
1.300000e-07	-5.082514e-03	-7.799473e-01
1.400000e-07	3.104854e-02	-7.584224e-01
1.500000e-07	1.579603e-02	-8.315590e-01
1.600000e-07	-3.109795e-02	-9.283695e-01
1.700000e-07	2.964715e-03	-9.790725e-01
1.800000e-07	3.857064e-02	-1.010924e+00
1.900000e-07	-1.800201e-02	-1.077239e+00
2.000000e-07	-1.555277e-02	-1.221603e+00
2.100000e-07	2.198274e-02	-1.251255e+00
2.200000e-07	-2.020267e-03	-1.265137e+00
2.300000e-07	-4.617276e-02	-1.422981e+00
2.400000e-07	2.127230e-02	-1.557490e+00
2.500000e-07	5.335613e-02	-1.600522e+00
2.600000e-07	-4.480418e-02	-1.611003e+00
2.700000e-07	-3.644304e-02	-1.666342e+00
2.800000e-07	5.018688e-02	-1.758445e+00
2.900000e-07	2.274418e-02	-1.800424e+00
3.000000e-07	-4.877076e-02	-1.832709e+00
3.100000e-07	-4.617733e-03	-1.916788e+00
3.200000e-07	3.440075e-02	-1.988820e+00
3.300000e-07	-1.032859e-03	-1.999451e+00
3.400000e-07	-1.103760e-02	-2.042108e+00
3.500000e-07	3.984330e-03	-2.096714e+00
3.600000e-07	-1.678035e-02	-2.199479e+00
3.700000e-07	3.453831e-03	-2.276292e+00
3.800000e-07	2.333887e-02	-2.358345e+00
3.900000e-07	-3.886027e-03	-2.400551e+00
4.000000e-07	-1.288370e-02	-2.420578e+00
4.100000e-07	8.033122e-04	-2.484608e+00
4.200000e-07	1.220136e-02	-2.556841e+00
4.300000e-07	9.238999e-03	-2.538976e+00
4.400000e-07	-8.152742e-03	-2.581526e+00
4.500000e-07	-2.216182e-02	-2.604189e+00
4.600000e-07	1.589461e-02	-2.728416e+00
4.700000e-07	2.404234e-02	-2.758943e+00
4.800000e-07	-1.145597e-02	-2.789496e+00
4.900000e-07	-8.251066e-03	-2.822529e+00
5.000000e-07	5.310851e-03	-2.873057e+00
5.100000e-07	5.988026e-03	-2.895336e+00
5.200000e-07	6.433982e-03	-2.939900e+00
5.300000e-07	5.322514e-04	-3.053234e+00
5.400000e-07	-1.251115e-02	-3.126741e+00
5.500000e-07	6.191690e-03	-3.137299e+00
5.600000e-07	1.724852e-02	-3.189395e+00
5.700000e-07	-8.447566e-04	-3.181026e+00
5.800000e-07	-7.051246e-03	-3.210555e+00
5.900000e-07	-2.621586e-03	-3.231587e+00
6.000000e-07	1.016028e-02	-3.265734e+00
6.100000e-07	1.107308e-02	-3.366812e+00
6.200000e-07	-9.979655e-04	-3.349395e+00
6.300000e-07	-8.772227e-03	-3.418925e+00
6.400000e-07	6.145010e-03	-3.389498e+00
6.500000e-07	1.277806e-02	-3.412529e+00
6.600000e-07	4.279959e-03	-3.432655e+00
6.700000e-07	-4.029989e-03	-3.495737e+00
6.800000e-07	-4.822030e-03	-3.494285e+00
6.900000e-07	9.374569e-03	-3.547390e+00
7.000000e-07	1.213507e-02	-3.508369e+00
7.100000e-07	1.551727e-03	-3.557923e+00
7.200000e-07	-5.659777e-03	-3.588449e+00
7.300000e-07	4.061610e-03	-3.579476e+00
7.400000e-07	1.095664e-02	-3.599899e+00
7.500000e-07	6.405594e-03	-3.599975e+00
7.600000e-07	-3.015295e-03	-3.600527e+00
7.700000e-07	-2.956217e-03	-3.600026e+00
7.800000e-07	7.281017e-03	-3.610053e+00
7.900000e-07	1.082794e-02	-3.601580e+00
8.000000e-07	5.026369e-03	-3.642027e+00
8.100000e-07	-2.667695e-03	-3.653030e+00
8.200000e-07	1.921928e-03	-3.622079e+00
8.300000e-07	9.535063e-03	-3.642154e+00
8.400000e-07	7.498766e-03	-3.591677e+00
8.500000e-07	-8.195548e-04	-3.632551e+00
8.600000e-07	-2.589337e-03	-3.622582e+00
8.700000e-07	5.826252e-03	-3.642583e+00
8.800000e-07	9.567318e-03	-3.632653e+00
8.900000e-07	5.237897e-03	-3.601527e+00
9.000000e-07	-1.234637e-03	-3.642078e+00
9.100000e-07	1.939596e-03	-3.631052e+00
9.200000e-07	8.578205e-03	-3.601029e+00
9.300000e-07	8.155848e-03	-3.621029e+00
9.400000e-07	1.425530e-03	-3.630053e+00
9.500000e-07	-8.075066e-04	-3.599500e+00
9.600000e-07	4.256083e-03	-3.600503e+00
9.700000e-07	7.483340e-03	-3.589999e+00
9.800000e-07	5.081148e-03	-3.578974e+00
9.900000e-07	-4.143026e-04	-3.580475e+00
1.000000e-06	2.545062e-03	-3.588470e+00
1.010000e-06	7.696220e-03	-3.578396e+00
1.020000e-06	8.599769e-03	-3.525264e+00
1.030000e-06	3.547446e-03	-3.564183e+00
1.040000e-06	-3.780294e-04	-3.475634e+00
1.050000e-06	2.802584e-03	-3.500153e+00
1.060000e-06	7.151056e-03	-3.402578e+00
1.070000e-06	6.154647e-03	-3.400446e+00
1.080000e-06	1.577658e-03	-3.399974e+00
1.090000e-06	2.202502e-03	-3.398921e+00
1.100000e-06	6.236474e-03	-3.326792e+00
1.110000e-06	7.819178e-03	-3.314234e+00
1.120000e-06	4.833474e-03	-3.293083e+00
1.130000e-06	9.352595e-04	-3.252576e+00
1.140000e-06	3.466871e-03	-3.200001e+00
1.150000e-06	5.096554e-03	-3.189524e+00
1.160000e-06	6.082958e-03	-3.148399e+00
1.170000e-06	1.814995e-03	-3.154838e+00
1.180000e-06	1.710049e-03	-3.063682e+00
1.190000e-06	4.675619e-03	-3.000425e+00
1.200000e-06	8.129182e-03	-2.894744e+00
1.210000e-06	5.270463e-03	-2.852582e+00
1.220000e-06	2.039259e-03	-2.830555e+00
1.230000e-06	1.948668e-03	-2.810002e+00
1.240000e-06	5.909361e-03	-2.799474e+00
1.250000e-06	6.312973e-03	-2.747845e+00
1.260000e-06	1.679393e-03	-2.683662e+00
1.270000e-06	5.827429e-05	-2.641554e+00
1.280000e-06	2.555494e-03	-2.609400e+00
1.290000e-06	6.370560e-03	-2.556341e+00
1.300000e-06	4.785874e-03	-2.493660e+00
1.310000e-06	1.486763e-03	-2.460600e+00
1.320000e-06	1.909660e-03	-2.370051e+00
1.330000e-06	4.895725e-03	-2.369474e+00
1.340000e-06	5.780550e-03	-2.346287e+00
1.350000e-06	1.878529e-03	-2.250034e+00
1.360000e-06	-1.278656e-03	-2.187342e+00
1.370000e-06	1.044862e-03	-2.081609e+00
